CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND
5,303,NAIIVE,0,0,6,0,0
10,193,NAIIVE,10,4,21,10,0
5,339,NAIIVE,0,0,5,0,0
10,158,NAIIVE,2,1,22,0,6
15,337,NAIIVE,29,12,63,27,6
20,868,NAIIVE,166,101,78,164,14
25,1359,NAIIVE,357,228,170,355,14
5,303,NAIIVE,0,0,7,0,0
10,189,NAIIVE,3,1,21,3,2
15,476,NAIIVE,85,62,55,84,8
20,399,NAIIVE,128,78,132,125,25
25,785,NAIIVE,206,121,239,203,32
5,130,MEDIUM,207,121,246,204,32
10,133,MEDIUM,270,157,258,267,32
15,363,MEDIUM,358,200,283,355,37
5,283,NAIIVE,0,0,3,0,0
10,210,NAIIVE,14,7,19,14,2
15,531,NAIIVE,94,58,30,94,4
20,757,NAIIVE,288,212,55,288,11
25,1667,NAIIVE,502,346,111,502,21
5,135,MEDIUM,505,347,117,505,21
10,102,MEDIUM,544,367,134,543,26
5,296,NAIIVE,6,3,4,6,3
10,240,NAIIVE,14,5,18,10,41
15,384,NAIIVE,40,19,57,34,47
20,469,NAIIVE,90,51,113,84,49
25,1267,NAIIVE,260,188,202,254,61
5,139,MEDIUM,260,188,208,254,61
10,23,MEDIUM,276,190,234,270,61
5,295,NAIIVE,0,0,7,0,0
5,317,NAIIVE,0,0,5,0,2
10,159,NAIIVE,0,0,26,0,2
15,4723,NAIIVE,79,46,49,74,164
20,444,NAIIVE,139,87,117,132,196
25,7723,NAIIVE,252,163,220,237,381
5,34,MEDIUM,253,163,225,238,383
10,99,MEDIUM,296,186,242,281,383
15,475,MEDIUM,455,289,264,440,383
20,1329,MEDIUM,774,527,291,758,388
25,4053,MEDIUM,1425,994,300,1407,398
5,56,EXPERT,1435,998,305,1416,403
10,217,EXPERT,1508,1043,321,1485,440
5,353,NAIIVE,0,0,4,0,0
10,171,NAIIVE,4,0,20,4,2
15,240,NAIIVE,6,0,53,6,5
20,1248,NAIIVE,293,250,53,293,5
25,3486,NAIIVE,442,360,134,437,124
5,94,MEDIUM,452,365,137,447,127
10,83,MEDIUM,482,382,144,475,138
15,511,MEDIUM,611,466,150,604,140
20,1262,MEDIUM,925,678,185,915,186
25,3826,MEDIUM,1626,1217,191,1616,188
5,310,NAIIVE,1,0,0,0,3
10,301,NAIIVE,20,7,8,16,49
5,293,NAIIVE,0,0,7,0,0
10,370,NAIIVE,46,34,11,46,2
15,170,NAIIVE,50,36,49,50,4
20,867,NAIIVE,173,117,70,173,4
25,800,NAIIVE,239,155,171,236,43
5,303,NAIIVE,0,0,4,0,0
10,232,NAIIVE,20,9,13,20,4
15,462,NAIIVE,93,58,13,93,4
20,1399,NAIIVE,352,235,14,351,9
25,2891,NAIIVE,830,634,20,829,11
